id,Title,Company,Location,Salary,Description
33,Senior Python Developer - Django,BigShyft,"Remote in Pune, Maharashtra","₹12,00,000 - ₹17,00,000 a year","With a blend of experts with a proven track record, our web designers, mobile engineers, software developers, graphic designers, software testers, and business…"
34,Python Developer,BNP Paribas,"Mumbai, Maharashtra",,"We partner various business lines of BNP Paribas such as Corporate and Institutional Banking, Wealth Management, Retail Banking through three verticals -…"
35,Junior Python Developer,Wisdomleaf Technologies (P) Limited,India,"₹3,00,000 - ₹4,00,000 a year",: Experience : 1+ year(s) of work experience We are looking for a developer to maintain and further develop our Cloud-based SAAS Web Applications.
36,Python Developer,Albireo Tech System,Remote in Remote,"₹1,000 a day","Time- 2 hrs a day.Job Types: Part-time, Freelance.Part-time hours: 14 per week.Total work: 5 years (Required)."
37,Python Developer,Mobile Programming India Pvt. Ltd.,"Bengaluru, Karnataka","₹4,38,858 - ₹17,35,677 a year",We are seeking a skilled and motivated Python Developer with a strong background in Python programming and hands-on experience in integrating with SQL databases…
38,Python Developer,TIES,"Pune, Maharashtra","₹3,00,000 - ₹6,00,000 a year","Experience :- 2 to 3 years.Qualification:- BE/MCA/BCA or Equivalent.Expertise in at least one popular Python framework (like Django, Flask or Pyramid)."
39,Contract Python Developer - - Remote - Indian Timezone,Flipkoins,Remote,,"Job Type - Short term Contractual, Full-Time.Duration - Minimum 6 months, might extend based on the performance.Python- Django, REST APIs, FLASK, HTML, CSS."
40,Python Backend Developer,BigShyft,"Bengaluru, Karnataka","₹25,00,000 - ₹30,00,000 a year","In-depth and experience programming in programming languages such as Python,.Thorough understanding and experience in cloud computing systems."
41,Python Django Developer,Accubits Technologies,Remote in Remote,"Up to ₹14,00,000 a year","We are looking to recruit experienced Python Developers (3+ years) who have good Knowledge and experience in Django, Rest API and MySQL."
42,Python Developer,hireskills,"Kochi, Kerala","Up to ₹12,00,000 a year",Understanding and translating customer requirements to technical specifications.Modeling REST APIs and writing effective and scalable Python codes.
43,Python Developer,MyGenomeBox India Private Limited,"Pune, Maharashtra","₹6,00,000 - ₹12,00,000 a year","Computer Vision (medical kit image capture) & Image processing/color correction - OpenCV, Scikit-learn, Scikit-image.Data manipulation using pandas and Numpy."
44,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
45,Python/Django Developer,Conversionz Digital Marketing Pvt. Ltd.,"Bengaluru, Karnataka","₹30,000 - ₹35,000 a month",We are looking for a Python Web Developer responsible for managing the interchange of data between the server and the users.Total work: 1 year (Preferred).
46,python Developer,Code Connex,"Gachibowli, Hyderabad, Telangana",,"Code, teste and operate python based services.Services using Agile development methods.Build customer-facing UI and back-end services for."
47,Fullstack Developer-Python (Remote),Indus Net Technologies,+1 locationRemote,,At least 3+ years of software development experience using Python and AWS Lambda (rare exceptions for highly skilled developers).
48,Senior Backend Developer- Python,Revolo InfoTech,Remote in Remote,"₹85,000 - ₹95,000 a month","Frontend developers to understand project requirements and translate them into.Lead and mentor a team of developers, providing technical guidance and support."
49,Python Developer Intern,XpertsTim IT Services Pvt Ltd,"Pune, Maharashtra",,"Work closely with senior developers to learn and grow as a Python developer.Ltd. In this role, you'll collaborate with our experienced developers to design,…"
50,Python Developer,"Lenze - Software R&D Center, India","Pune, Maharashtra","Up to ₹20,00,000 a year",Experience: 4 to 8 years.Hands-on experience of writing scripts using Python and good debugging skills.Experience using OOP in Python.
51,Python Developer,Nisum,"Hyderabad, Telangana",,Work Type: Full Time / Contract.Design & build backend components of our MLOps platform on AWS.Collaborate with geographically distributed cross-functional…
52,Python Developer (WFH),Webyops Inc,"Remote in Vadodara, Gujarat","₹3,00,000 - ₹10,00,000 a year","Python developer: 2 years (Preferred).Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with…"
53,Python developer,Talent Basket,Remote in Remote,"Up to ₹18,00,000 a year","Looking for candidates who have experience in Python and Oops.Job Types: Full-time, Regular / Permanent.Pay: Up to ₹1,800,000.00 per year."
54,Sr. Python Developer,optimhire inc.,Remote in Remote,"₹15,00,000 - ₹40,00,000 a year",Write Python / Java Microservice in GCP/AWS Backend Eng.Experience of building highly scalable and reliable products in the cloud.
55,Python/Django Developer,Markytics,"Mumbai, Maharashtra","₹3,00,000 - ₹4,50,000 a year",Developing the backend and front end for developing a data science platform on Django.Building machine learning and artificial intelligence algorithms.
56,Software Developer Work From Home,MFine,Remote in Maharashtra,"₹19,800 - ₹43,000 a month","Participate in code reviews and provide feedback to other developers.Design, develop, and maintain high-quality software code."
57,Artificial Intelligence Developer,Leads To Company,"Remote in Mumbai, Maharashtra","₹1,60,125 - ₹7,05,701 a year","Experience: *Min 3 + year required , experience in Social media app like Snapchat and filter creation experience mandatory."
58,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
59,Python Flask Developer,Starlly Solutions Private Limited,"Bengaluru, Karnataka","₹12,00,000 - ₹19,00,000 a year","Collaborating with frontend developers, UX designers, and product managers to deliver cohesive user experiences.Total work: 4 years (Required)."
60,Python Developer,ClientServer Technology Solutions LLC,"Medchal, Andhra Pradesh+1 location","₹7,00,000 - ₹7,50,000 a year",Python developer with Angular and React JS 2-4yrs experience.Hands-on experience with demonstrated capability in Restful API Design and development using…
61,Python/Django Developer,Cariva Technologies,"Bengaluru, Karnataka","₹80,000 - ₹1,30,000 a month","Work experience as a Python Developer.Expertise in at least one popular Python framework (like Django, Flask or Pyramid)."
62,Python Developer TL,BigShyft,"Delhi, Delhi","₹25,00,000 - ₹35,00,000 a year","Develop backend processes in Django, Django REST Framework that communicate through established REST APIs.Write documentation as new features and functionality…"
63,Junior Python Developer,Samta.ai,"Noida, Uttar Pradesh","₹8,703 - ₹40,242 a month",Work together with team of developers to come up with suitable solutions.Proven work experience in developing Django web-based products with REST API.
64,Python Developer,HappLabs Software LLP,"Bengaluru, Karnataka","₹4,00,000 - ₹15,00,000 a year",We have an opening for Python Developer.Please find the details below.We are looking for a Python Developer responsible for managing the interchange of data.
65,Python SQL Developer,Virtusa,Hybrid remote in Andhra Pradesh,,Role / Tier: - Associate Consultant- QA /Tier 3.2 - 5 years of experience in software development ideally involving analytics/ statistics/.
66,Junior Python Engineer,Allied Media,"Remote in Bihar, Uttar Pradesh","₹2,40,000 - ₹2,46,000 a year",To achieve use case developer might need to write Python or other scripts.We are looking for freshers as Developers who will be responsible for creating BAAR …
67,Python/Django Developer,MobileFirst Applications,Remote in Remote,"From ₹3,00,000 a year",Integration of user-facing elements developed by Backend developer.MobileFirst is a Product Development and Consulting Studio established in 2014.
68,Python Developer,Varishtha Infotech,"Bengaluru, Karnataka","Up to ₹28,00,000 a year","Experience: 3-4 Years | CTC: Upto 22 LPA.Experience: 5-7 Years | CTC: Upto 28 LPA.Notice period: Immediate to 30days.Location: Bangalore, Work from Office."
69,Jr. Python Developer,Scintillate Alliance Private Limited,"Bengaluru, Karnataka","₹8,678 - ₹39,893 a month",Are you a skilled Python Developer looking for an exciting opportunity?Look no further! is seeking a talented and passionate Python Developer to join our…
70,Web Developer,the internspire,"Remote in Mumbai, Maharashtra","₹10,000 - ₹30,000 a month","We are seeking a talented and motivated Web Developer to join our team.As a Web Developer, you will be responsible for designing, coding, and modifying…"
71,Python Developer Intern,Inmakes Infotech Pvt.Ltd,"Thiruvananthapuram, Kerala+1 location","₹15,000 - ₹25,000 a month","Python Intern at Inmakes Infotech Pvt Ltd.Salary: ₹15,000.00 - ₹25,000.00 per month.Thiruvananthapuram, Kerala: Reliably commute or willing to relocate with…"
72,Senior Python Developer,BigShyft,"Bengaluru, Karnataka+2 locations","₹15,00,000 - ₹20,00,000 a year","Experience with modern components like async python, pedantic, SQL alchemy, alembic, celery, google products API integration, etc. is a plus."
73,Python/Django Developer,Webtech Solutions Service,"Delhi, Delhi","₹25,000 - ₹90,000 a month",Must have atleast 2 years of experience in python framework.Help design and implement functional requirements.Build efficient back-end features in Python.
74,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
75,Junior Python Developer,Spark TG,"Remote in Gautam Budh Nagar, Uttar Pradesh","₹20,000 - ₹80,000 a month","The roles and responsibilities are as below:Understanding business objectives and developing solutions that help to achieve them, along with metrics to track…"
76,Python Developer,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",,"Senior Python Developer (5+ years) You want to be part of lifting eXtollo, our customized Big Data platform, to the next level and to offer our customers a…"
77,Python Developer,Tarams Technologies,"Bengaluru, Karnataka","₹20,00,000 - ₹25,00,000 a year","Comfortable collaborating with designers, front-end developers and other team members.Bachelor’s degree and 3+ years related experience or equivalent…"
78,Python Developer,sai silks kalamandir,"Hyderabad, Telangana","From ₹3,00,000 a year","This position requires background in hands-on application support, technical and people management.Engineering graduate, preferably in CS / IT from a reputed…"
79,Python Developer Lead,SearchEnds,"Bengaluru, Karnataka","₹18,00,000 - ₹33,00,000 a year",₹ 18-33 Lacs P.A.Analyze and translate business requirements into scalable and resilient design.Create high quality maintainable products and applications…
80,Python Backend Developer,rb@sotconsultingservices.com,"Bengaluru, Karnataka","₹92,598 - ₹2,16,694 a year",Python scripting: 1 year (Preferred).RESTful API are Microservices developer: 1 year (Preferred).Develop the Policies & Next Gen.
81,Junior Python Developer,WebIdeaSole,"Kolkata, West Bengal","₹15,000 - ₹20,000 a month",Comprehensive training and mentorship from experienced developers.Collaborate with senior developers and cross-functional teams to understand project…
82,Python/ PySpark Developer,CGI,"Bengaluru, Karnataka+1 location",,"CGI offers a competitive compensation package with opportunities for growth and professional development.Benefits for full-time, permanent members start on the…"
83,Python Developer,jvs services,"Remote in Hyderabad, Telangana","₹40,000 - ₹70,332 a month","We are looking for python developers. Location: Remote Experience: 4-5 Years Skills: Python,Django,Flask,MySQL,PostgreSQL. If your are interested please…"
84,Python Developer,Caminosoft AI,Remote,,Work closely with other developers and cross-functional teams to identify requirements and design software solutions.
85,Python developer,s&S services,"Noida, Uttar Pradesh","₹20,000 - ₹40,000 a month","Developing , implementing machine learning models using python and relevant libraries.Total work: 1 year (Preferred)."
86,Python Developer,Dollop Infotech Pvt Ltd,"Indore, Madhya Pradesh","₹20,000 - ₹50,000 a month","Collaborate with software engineers, product managers, and other stakeholders to understand project requirements and translate them into technical…"
87,Python Developer,Namsbel,"Hyderabad, Telangana",,"Required knowledge, skill and ability.Required knowledge, skill and ability."
88,Python Developer Hyderabad,Melvault,"Hyderabad, Telangana",,The Software Developer primarily participates in maintaining and improving existing services and in planning and implementing new services as well as…
89,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
90,Python Developer,Spiceblue,"Chennai, Tamil Nadu","₹25,000 - ₹30,000 a month",Coordinating with front-end developers.We are looking for an experienced Python developer to join our engineering team and help us create dynamic software…
91,Python Developer,iCloudEMS,Remote in Remote,"₹2,00,000 - ₹4,00,000 a year","Collaborate with frontend developers to integrate web services with user interfaces.Job Description: Python Developer with Web Services, Hardware Interface,…"
92,Backend Developer (Python),Digantara,"Bengaluru, Karnataka",,Code optimization of python using Cython or any other technique.Work with UX designers and API developers to implement intricate information architectures that…
93,Software Engineer-Python Developer,Looper Development Services,"Mumbai, Maharashtra","₹9,00,000 - ₹15,00,000 a year",Candidates need to have experience to transfer data to cloud using python language.Minimum experience between 3 to 7 years.Strong in writing SQL queries.
94,Jr. Python Developer,Sony Electronics,"Bengaluru, Karnataka",,"We also encourage Python developers with an interest in expanding their skill set to apply.We look for the risk-takers, the collaborators, the inspired and the…"
95,Senior Python Developer,Leads To Company,"Remote in Mumbai, Maharashtra","₹4,39,553 - ₹17,36,393 a year","Are you a passionate and skilled Python developer with hands-on experience in Databricks, Azure, and DevOps?Do you have a flair for coding and a love for data…"
96,Python (AI) Developer,Maeme's Ltd (UK),"Chandigarh, Chandigarh","₹25,000 - ₹75,000 a month",Maemes Ltd is a UK-based technology company that specializes in cutting-edge artificial intelligence solutions.The ideal candidate should possess:
97,FULL STACK DEVELOPER (PYTHON & REACTJS),Kyvor Genomics Pvt Ltd.,"Chennai, Tamil Nadu","₹3,00,000 - ₹8,00,000 a year","JOB DESCRIPTION – FULL STACK DEVELOPER (PYTHON & REACTJS).Kyvor Genomics Pvt. Ltd. is a subsidiary of Kyvor Genomics Inc., USA.CTC: ₹3,00,000 – ₹8,00,000 P.A."
98,Python Developer with Business Analyst,Webyops Inc,"Pune, Maharashtra","₹3,00,000 - ₹10,00,000 a year",We are looking for a Python Developer with BA to join our engineering team and help us develop and maintain various software products.
99,Graduate Engineer Trainee,Emerson,"Pune, Maharashtra",,Closely coordinate with other developers and colleagues within team.Graduate Engineer Trainee will report functionally to Technical Leader - Automation leader…
100,Python/Django Developer,Neosoft Technologies,"Mumbai, Maharashtra",,Candidates need to have experience to transfer data to cloud using python language.Minimum experience between 4 To 7 years.Strong in writing SQL queries.
101,Junior Python Developer,Cyperts digital solutions private limited,"Pune, Maharashtra","₹8,793 - ₹30,321 a month",Python Developer with AI/ML Skills We are seeking a talented and experienced Python Developer with 2-3 years of work experience in the field of Artificial…
102,Python/Django Developer,Starlly SolutionsPrivate Limited,"Bengaluru, Karnataka","₹4,38,571 - ₹17,35,504 a year","We are looking for Python professionals , kindly forward your resume ASAP ..Ø Write effective, scalable, testable and reusable code."
103,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
104,Software Developer/Data Scientist,Cloudare Technologies Pvt. Ltd.,"Remote in Pune, Maharashtra","Up to ₹14,00,000 a year","Role:* Software Developer/Data Scientist.Required Skills: Python, Pyspark and Azure Databricks.Notice Period: Immediate to max. 15days."
105,Python Developer,Splice Global Services,Remote,,"Skills : OOPS Concept, Python, Django, HTML, CSS.✅ Design and develop software for medium and large-scale enterprise services.✅ Develop REST API using DRF."
106,Lead Software Engineer -IIB,JPMorgan Chase & Co,"Hyderabad, Telangana",,Be an active developer and contributor to the team’s delivery.Our Consumer & Community Banking division serves our Chase customers through a range of financial…
107,Python Developer,Meytier,"Mumbai, Maharashtra",,Communication skills effective and amicable communication between groups developers testers designers and users Analytical skills.
108,Python developer,Xenlogic Technologies,"Hyderabad, Telangana",,"Design, build and maintain efficient, reusable, and reliable Python architecture and code.Integrate user-facing elements into applications."
109,Python Developer,iNetFrame Technologies,"Bengaluru, Karnataka",,You will be a lead developer responsible for the development of new software products and enhancements to existing products.Knowledge of the CI/CD pipeline.
110,Python Developer,Wyzmindz solutions pvt ltd,"Bengaluru, Karnataka","₹5,00,000 - ₹6,00,000 a year",Lead a team of 4/5 developers.Good testing/debugging skills using standard python modules/IDEs.Partner with developers and business users to develop core…
111,Junior Python Developer,Elitez Recruitment Services Private Limited,"Chennai, Tamil Nadu","₹2,00,000 - ₹6,00,000 a year", Expertise in python selenium automation and scraping. 1-2 years of experience as a Python Developer with a focus on web. Experience in Linux/ Unix.
112,Python/Django Developer,Aliqan Technologies,"Mumbai, Maharashtra","₹9,00,000 - ₹15,00,000 a year",Integration of user-facing elements developed by front-end developers with server side logic.Job Title: Python Software Developer.Experience: 1 to 4 Years.
113,Python/Django Developer,Utah Tech Labs,"Remote in Kolkata, West Bengal","₹3,67,931 - ₹6,40,443 a year",Coordinating with front-end developers.2 to 5 years of experience as a Python developer.What Will You Do In Your New Role?.What We Are Looking For ?.
114,Python Backend Web Developer (6 to 9 years),Hitachi Vantara Corporation,"Hyderabad, Telangana",,"Hitachi Vantara is seeking a Backend Python web developer to join our tools development team.Mentor and provide technical guidance to junior developers,…"
115,Python Developer,Esearch logix technologies pvt.ltd.,"Noida, Uttar Pradesh","Up to ₹40,000 a month","Candidates need to have experience to transfer data to cloud using python language.Minimum experience between 2 To 4 years.Hands on with Unit Test, Coding."
116,"Sr Software Developer (Python, Big Data)",S&P Global,"Hyderabad, Telangana+1 location",,"You will work closely with other back end and front-end developers, BA, QA, and application support team.The Role: Sr Software Developer.What’s in it for you:"
117,Sr. Python Developer,Looper Development Services,"Mumbai, Maharashtra","₹9,00,000 - ₹15,00,000 a year","4+ years of experience as a Python developer.Good Experience in Object Oriented programming in python,.Writing effective, scalable, and reusable code."
118,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
119,Python Developers,Laddu Systems,"Remote in Hyderabad, Telangana",,Interested candidates can apply immediately.
120,Python Developer,Kognosdata,"Bengaluru, Karnataka",,"Experience of 1 to 4 years in Python Development.Skills : Python, Pandas, Numpy, Any database experience.Data Manipulation and Analysis: Skilled in Pandas and…"
121,IT.Developer,Citco,"Hyderabad, Telangana",,"The Technology Operations group deliver platforms and services that support critical business processes, and create competitive advantage for Citco and our…"
122,Python Developer : Gurugram,CashKaro,"Remote in Gurgaon, Haryana",,"Should have minimum 1 year of scraping experience for sites like eCommerce sites, news sites etc.You will be required to maintain and enhance the entire price…"
123,Python Developer (Internship),Pi - India's 1st SuperMoney App,"Mumbai, Maharashtra","₹7,000 - ₹10,000 a month","Collaborate with other developers to design, develop, and test software solutions using Python programming language.Troubleshoot and debug code issues."
124,Python/Django Developer,SquareBoat,"Mumbai, Maharashtra","₹10,00,000 - ₹12,00,000 a year","Overall, 4-5 years of software development experience, preferably with Python with at least 2 years of experience with Django framework."
125,Python Developer,Witmates,"Indore, Madhya Pradesh",,"Python, Sql, Jira, Git, Django.Strong proficiency in Python programming language and its AI/ML libraries (e.g., TensorFlow, PyTorch, scikit-learn) Solid…"
126,python developer,Screative Software Services Pvt.ltd,"Hyderabad, Telangana","From ₹3,27,796 a year",Experience writing bash or python scripts in AWS cloud.Strong expertise in writing unit and Int tests in python.Total work: 1 year (Preferred).
127,Python Developer,Excel Global Solutions,"Visakhapatnam, Andhra Pradesh",,"Sound knowledge of technology stack such as Python.Practical understanding of HTML, CSS, and JavaScript.Growth mindset - motivated by experimentation, moving…"
128,Python Developer,Drawsera,"Andheri West, Mumbai, Maharashtra",,Develop Enterprise Level Web based or Desktop applications in Core Python / MVC Frameworks Django.Fully develop Web based or Enterprise Level Desktop…
129,Python Developer,Perfect eLearning,"Gurgaon, Haryana","₹14,00,000 - ₹15,00,000 a year","To collaborate with other developers, project managers and stakeholders to ensure that software solutions meet business needs."
130,Python Developer,Simplyfyd Solutions,"Pune, Maharashtra","₹7,00,000 - ₹14,00,000 a year",Experience*: 4 to 8 years. Hands-on experience of writing scripts using Python and good debugging skills. Experience using OOP in Python.
131,Python Devloper,Tekdi Technologies,"Pune, Maharashtra",,"Python Developer responsibilities include writing and testing code, debugging programs, and integrating applications with third-party web services."
132,Python Developer,Dentsu Aegis Network,"Mumbai, Maharashtra",,"The purpose of this role is to develop required software features, achieving timely delivery in compliance with the performance and quality standards of the…"
133,Python Developer,Pattern Effects Labs,"Bengaluru, Karnataka",,"AI is used to find pattern and correlation which hide deep within Big Data.Knowledge of Angular 2, JavaScript, HTML, Bootstrap, and CSS is desired."
134,Experienced Devops Engineer,BOEING,"Bengaluru, Karnataka",,The selected individual will also be responsible to provide support to development of internal competency and resources for critical skill sets and be a sought…
135,Sr Python/ Django Developer,Maplecroft,"Hyderabad, Telangana",,"Peer review other developers work in a thorough and constructive manner.Expert knowledge of Python, with a minimum of 4 years’ experience as a Python developer…"
136,Junior Python Developer- Navi Mumbai,Valuepitch E Technologies Pvt Ltd,"Mumbai, Maharashtra","₹30,000 - ₹40,000 a month",We are looking for Python developers with a strong understanding of object orientationand experience in backend development.
137,Python Developer,Dinero Software,"Mumbai, Maharashtra",,Dinero Software Pvt. Ltd. Is an innovative Software Development Company that utilizes the latest technologies to bring the best software for our client’s needs.
138,Python Developer,Imagino Solutions,"Calicut, Kerala",,"As a Python Developer, you will be responsible for developing and maintaining Python-based applications, and collaborating with cross-functional teams to…"
139,Senior Python Developer,ADVITAS ORGANISATION,"Hyderabad, Telangana",,"Lead developers in a global setting, drive technical implementation, remove technical roadblocks.Experience leading technical team of developers, QA, and…"
140,Senior Python Developer - Django/Numpy,BigShyft,"Pune, Maharashtra","₹10,00,000 - ₹18,00,000 a year",Writing unit tests using python test framework tools.Experience in writing unit tests using python test frameworks lie Unittest / Pytest.
141,Snowflake+Python Developer,Aliqan Technologies,"Bengaluru, Karnataka","₹25,00,000 - ₹40,00,000 a year",We are hiringData Lead(Snowflake+Python)for one of our client MNC.Job type: *contractual for 6 months + extendable.Total work: 9 years (Preferred).
142,Software Developer,Samisan Tech Pvt Ltd,"Goregaon, Mumbai, Maharashtra","Up to ₹6,00,000 a year","Collaborate with senior developers to design, develop, and test software applications using C++, Python, and Rust.Total work: 1 year (Preferred)."
143,Python Developer,UnitedLayer,Remote,,E./B.Tech./MCA or equivalent in CSE or E&C with minimum 3 years of industry experience as Python full stack developer.Strong unit test and debugging skills.
144,Python Developer,Rabbit and Tortoise Technology Solutions,"Pune, Maharashtra",,"Knowledge of core python and Advance python.Write scalable, testable, efficient, and easily maintainable code.Knowledge on Pandas and NumPy in Python."
145,Python Developer-GMK-MUM (Remote),Getinz,"Remote in Chennai, Tamil Nadu",,"Design and Development of the modular, reusable backend infrastructure, collaborating with a cross functional team of the backend, Mobile application, AI,…"
146,Sr. Python Developer,Profecia Links / PLME,"Pune, Maharashtra","From ₹10,00,000 a year","Proven experience as a Python developer, with a focus on web development.Mentor and guide junior developers, providing technical leadership and sharing your…"
